pokedex_no,name,type1,type2,moves,hp,attack,defense,special-attack,pode_evoluir,fase_evolutiva
1,bulbasaur,grass,poison,"[['ataque de grass', 'grass'], ['ataque de poison', 'poison']]",45,49,49,65,1,1
2,ivysaur,grass,poison,"[['ataque de grass', 'grass'], ['ataque de poison', 'poison']]",60,62,63,80,1,2
3,venusaur,grass,poison,"[['ataque de grass', 'grass'], ['ataque de poison', 'poison']]",80,82,83,100,2,3
4,charmander,fire,,"[['ataque de fire', 'fire']]",39,52,43,60,1,1
5,charmeleon,fire,,"[['ataque de fire', 'fire']]",58,64,58,80,1,2
6,charizard,fire,flying,"[['ataque de fire', 'fire'], ['ataque de flying', 'flying']]",78,84,78,109,2,3
7,squirtle,water,,"[['ataque de water', 'water']]",44,48,65,50,1,1
8,wartortle,water,,"[['ataque de water', 'water']]",59,63,80,65,1,2
9,blastoise,water,,"[['ataque de water', 'water']]",79,83,100,85,0,3
10,caterpie,bug,,"[['ataque de bug', 'bug']]",45,30,35,20,1,1
11,metapod,bug,,"[['ataque de bug', 'bug']]",50,20,55,25,1,2
12,butterfree,bug,flying,"[['ataque de bug', 'bug'], ['ataque de flying', 'flying']]",60,45,50,90,0,3
13,weedle,bug,poison,"[['ataque de bug', 'bug'], ['ataque de poison', 'poison']]",40,35,30,20,1,1
14,kakuna,bug,poison,"[['ataque de bug', 'bug'], ['ataque de poison', 'poison']]",45,25,50,25,1,2
15,beedrill,bug,poison,"[['ataque de bug', 'bug'], ['ataque de poison', 'poison']]",65,90,40,45,0,3
16,pidgey,normal,flying,"[['ataque de normal', 'normal'], ['ataque de flying', 'flying']]",40,45,40,35,1,1
17,pidgeotto,normal,flying,"[['ataque de normal', 'normal'], ['ataque de flying', 'flying']]",63,60,55,50,1,2
18,pidgeot,normal,flying,"[['ataque de normal', 'normal'], ['ataque de flying', 'flying']]",83,80,75,70,0,3
19,rattata,normal,,"[['ataque de normal', 'normal']]",30,56,35,25,1,1
20,raticate,normal,,"[['ataque de normal', 'normal']]",55,81,60,50,0,2
21,spearow,normal,flying,"[['ataque de normal', 'normal'], ['ataque de flying', 'flying']]",40,60,30,31,1,1
22,fearow,normal,flying,"[['ataque de normal', 'normal'], ['ataque de flying', 'flying']]",65,90,65,61,0,2
